id|name|cep|address|number|neighborhood|citie|state|country|cnpj|fl_aprove|fl_active|fl_billing|company_id|fl_client|fl_deleted|created_at|updated_at|complement|manager_email|headquarter|company_email|abaco_email|id|company_id|client_id|created_at|updated_at|mail_company|mail_client
437|AIR TEC SYSTEM MAQUINAS E EQUIPAMENTOS LTDA|12940-440|R CASTRO FAFE|526|CENTRO|ATIBAIA|SP|BRASIL|37.852.760/0001-37|0|1|1|1|0|0|12/18/20 15:50|12/18/20 15:50|SALA PERU N 04|(NULL)|(NULL)|(NULL)|(NULL)|503|3|437|12/18/20 15:50|12/18/20 15:51|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|dearaujo@air-tec.it
346|AIRCONN COMERCIO E SERVICOS EIRELI|13295-000|R MARIA SOLDEIRA LOURENCON|680|SANTA JULIA|ITUPEVA|SP|BRASIL|21.276.585/0001-47|0|1|1|1|0|0|7/1/20 13:24|7/1/20 13:24|SALA 1|(NULL)|(NULL)|(NULL)|(NULL)|362|3|346|7/1/20 13:33|7/1/20 13:41|Luiz.Bittencourt@dsm.com, SHE.CONTRACTOR@dsm.com|mercia@jvacompressores.com.br
509|ALESSANDRO JOSE DA SILVA|06160-290|R GEORGINA MOTTA MARCHETTI|73|BANDEIRAS|OSASCO|SP|BRASIL|42.350.087/0001-77|0|1|1|1|0|0|7/19/21 10:12|7/19/21 10:12|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|592|3|509|7/19/21 10:12|7/19/21 10:12|Isadora.Bonato@dsm.com, she.contractor@dsm.com|contato@actlift.com.br
9|ALESSANDRO RODRIGUES SOROCABA EPP - BRASTEK|18070-067|AVENIDA IPANEMA|811|VILA NOVA SOROCABA|SOROCABA|SP|BRASIL|22.720.490/0001-33|0|1|1|1|0|0|9/3/19 15:43|6/29/21 10:36|(NULL)|bruna.moraes@dsm.com, beatriz.souza@dsm.com, amanda.camargo@dsm.com, she.contractor@dsm.com|(NULL)|atendimento@brastek.com.br|g3.dsm@abacotecnologia.com.br|4|3|9|10/15/19 12:41|2/8/21 14:51|paulo.pereira@dsm.com, Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|atendimento@brastek.com.br
420|ALEXANDRE GHIZELLINI 27681897828|13482-375|R ARNALDO STOCCO|714|JARDIM NOSSA SENHORA DE FATIMA|LIMEIRA|SP|BRASIL|32.791.973/0001-82|0|1|1|1|0|0|12/9/20 14:49|12/9/20 14:49|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|485|3|420|12/9/20 14:49|12/9/20 14:52|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|adm@glbtechautomacao.com.br
369|ALMO ENGENHARIA LTDA|15910-000|R ANTONIO COLATRELLA|231|JARDIM SANTA RITA|MONTE ALTO|SP|BRASIL|06.008.002/0001-03|0|1|1|1|0|0|8/27/20 9:59|8/27/20 9:59|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|404|3|369|8/27/20 9:59|2/8/21 14:51|Isadora.Bonato@dsm.com, she.contractor@dsm.com|almoadmpreventiva2@gmail.com
429|ALPHA MONTA|06654-535|R JOSE SILVESTRE NUNES|17|JARDIM SAO PAULO|ITAPEVI|SP|BRASIL|24.734.166/0001-08|0|1|1|1|0|0|12/16/20 10:34|12/16/20 10:34|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|496|3|429|12/16/20 10:36|2/8/21 15:55|Isadora.Bonato@dsm.com, she.contractor@dsm.com|montagem.brasil@mecalux.com
10|ALSCO TOALHEIRO BRASIL LTDA - MAIRINQUE|04745-506|AVENIDA VITOR MANZINI|470|SANTO AMARO|SÃO PAULO|SP|BRASIL|33.325.184/0002-08|0|1|1|1|0|0|9/3/19 15:59|3/5/20 15:31|(NULL)|leticia.ramos@dsm.com, gislaine.oliveira@dsm.com, she.contractor@dsm.com|(NULL)|fabio.rossi@alsco.com.br, mauricio@alsco.com.br|g3.dsm@abacotecnologia.com.br|5|3|10|10/15/19 12:41|8/24/21 14:05|g3.dsm@abacotecnologia.com.br, leticia.ramos@dsm.com, gislaine.oliveira@dsm.com, she.contractor@dsm.com|atendimento.rouparia@alsco.com.br
281|ALSCO TOALHEIRO BRASIL LTDA - PECÉM|61760-000|R CEL FREIRE|24|GUARIBAS|EUSEBIO|CE|BRASIL|33.325.184/0007-04|0|1|1|1|0|0|3/31/20 13:41|3/31/20 13:41|(NULL)|Maria.Sombra@dsm.com, maria.barbosa@dsm.com, she.contractor@dsm.com|(NULL)|alscofz@alsco.com.br|g3.dsm@abacotecnologia.com.br|275|131|281|3/31/20 13:42|10/19/21 11:31|Bruno.Mantini@dsm.com, maria.barbosa@dsm.com, she.contractor@dsm.com, Natanielle.Silva@dsm.com|alscofz@alsco.com.br
529|AMBIARTE COMERCIAL DE JUNDIAI LTDA|13209-355|R DO RETIRO|2683|VILA DAS HORTENCIAS|JUNDIAI|SP|BRASIL|02.177.057/0001-96|0|1|1|1|0|0|9/3/21 11:35|9/3/21 11:35|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|617|3|529|9/3/21 11:36|9/3/21 11:36|she.contractor@dsm.com, Fernanda.Bueno-da-Silva@dsm.com|ambiarte@ambiarte.com.br
11|AMBIENTAL ECOPROCESSOS EIRELI|18013-280|AVENIDA ENGENHEIRO CARLOS REINALDO MENDES|1460|ALEM PONTE|SOROCABA|SP|BRASIL|23.547.902/0001-48|0|1|1|1|0|0|9/6/19 13:55|3/6/20 9:04|(NULL)|ivelize.machado@dsm.com, paulo.pereira@dsm.com, luciana.florentino@dsm.com, she.contractor@dsm.com|(NULL)|rh2@sorocabaambiental.com.br, sgi@sorocabaambiental.com.br, sorocaba@sorocabaambiental.com.br|g3.dsm@abacotecnologia.com.br|6|3|11|10/15/19 12:41|2/8/21 15:10|Isadora.Bonato@dsm.com, she.contractor@dsm.com|rh2@sorocabaambiental.com.br, sgi@sorocabaambiental.com.br, sorocaba@sorocabaambiental.com.br
467|ANDERSON RODRIGO DA CRUZ|13571-385|AV DOUTOR HEITOR JOSE REALI|1425|DISTRITO INDUSTRIAL MIGUEL ABDELNUR|SAO CARLOS|SP|BRASIL|09.151.248/0001-28|0|1|1|1|0|0|3/16/21 9:55|3/16/21 9:55|BLOCO 07;APT 502|(NULL)|(NULL)|(NULL)|(NULL)|543|3|467|3/16/21 9:55|3/16/21 9:56|Isadora.Bonato@dsm.com, she.contractor@dsm.com|logistica@salengenharia.com.br, logistica2@salengenharia.com.br
276|ANDRE CARLOS PASCOAL 10201215721|27115-400|R ANTONIO DE ALMEIDA|327|SANTO ANTONIO|BARRA DO PIRAI|RJ|BRASIL|36.706.957/0001-03|0|1|1|1|0|0|3/20/20 8:46|3/20/20 8:46|CONJ|Bruna.Moraes@dsm.com, Amanda.Camargo@dsm.com, Beatriz.Souza@dsm.com, she.contractor@dsm.com|(NULL)|felipelima@rczengenharia.com.br|g3.dsm@abacotecnologia.com.br|268|3|276|3/20/20 8:46|2/8/21 14:52|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|felipelima@rczengenharia.com.br
271|ANDRELU AR CONDICIONADO|25035-370|R COSTA RUBIM|1088|VILA LEOPOLDINA|DUQUE DE CAXIAS|RJ|BRASIL|26.289.331/0001-87|0|1|1|1|0|0|3/19/20 9:39|3/19/20 9:39|LOJA|felipelima@rczengenharia.com.br|(NULL)|Bruna.Moraes@dsm.com,Amanda.Camargo@dsm.com,Beatriz.Souza@dsm.com,she.contractor@dsm.com|g3.dsm@abacotecnologia.com.br|263|3|271|3/19/20 9:40|2/8/21 14:53|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|felipelima@rczengenharia.com.br
168|ANDREWS CRUZ DE OLIVEIRA|18120-000|R BENEDITO DE OLIVEIRA VIANA|321|VILA BARRETO|MAIRINQUE|SP|BRASIL|35.963.205/0001-57|0|1|1|1|0|0|1/24/20 16:30|3/6/20 10:32|(NULL)|bruna.moraes@dsm.com, beatriz.souza@dsm.com, amanda.camargo@dsm.com, she.contractor@dsm.com|(NULL)|felipelima@rczengenharia.com.br, assumpcao.rsa@gmail.com, barreto@rczengenharia.com.br|g3.dsm@abacotecnologia.com.br|159|3|168|1/24/20 16:31|2/8/21 14:53|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|felipelima@rczengenharia.com.br, assumpcao.rsa@gmail.com, barreto@rczengenharia.com.br
340|ANTON PAAR BRASIL|04026-090|R JOSE DE MAGALHAES|646|VILA MARIANA|SAO PAULO|SP|BRASIL|17.025.823/0001-74|0|1|1|1|0|0|6/18/20 14:04|6/18/20 14:04|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|354|3|340|6/18/20 14:05|6/22/20 13:52|Isadora.Bonato@dsm.com, she.contractor@dsm.com|gabrielle.ribeiro@anton-paar.com, fernando.novaes@anton-paar.com, debora.soares@anton-paar.com
362|APOLLO BALANÇAS|03189-030|PC TRISTAO DA CUNHA|77|VILA ORATORIO|SAO PAULO|SP|BRASIL|08.800.105/0001-37|0|1|1|1|0|0|8/12/20 10:24|8/12/20 10:24|SL 01|(NULL)|(NULL)|(NULL)|(NULL)|394|3|362|8/12/20 10:25|8/25/21 14:22|Isadora.Bonato@dsm.com, she.contractor@dsm.com|vagner.bernardo@mt.com
451|ARVEN ENGENHARIA INDUSTRIAL LTDA|09551-000|R FLORIDA|350|BARCELONA|SAO CAETANO DO SUL|SP|BRASIL|08.220.541/0001-37|0|1|1|1|0|0|1/14/21 15:25|1/14/21 15:25|APT 104|(NULL)|(NULL)|(NULL)|(NULL)|516|3|451|1/14/21 15:25|2/8/21 14:54|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|arven@arvenprojetos.com.br
278|ASMJBPM - ME|25050-370|AV CRUZEIRO DO SUL|155|VILA SARAPUI|DUQUE DE CAXIAS|RJ|BRASIL|36.712.899/0001-12|0|1|1|1|0|0|3/27/20 8:22|3/27/20 9:15|(NULL)|Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Amanda.Camargo@dsm.com, SHE.CONTRACTOR@dsm.com|(NULL)|felipelima@rczengenharia.com.br|g3.dsm@abacotecnologia.com.br|270|3|278|3/27/20 8:22|2/8/21 14:54|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|felipelima@rczengenharia.com.br
13|ASS VULCANIZAÇÃO E COMÉRCIO EIRELLI|04419-060|RUA RAFAEL ADORNO|25|JARDIM MIRIAM|SÃO PAULO|SP|BRASIL|05.401.687/0001-90|0|1|1|1|0|0|9/6/19 14:06|5/15/20 9:39|(NULL)|Sarah.Victoria-Avelina-Ribeiro@dsm.com, she.contractor@dsm.com|(NULL)|monica@vulcamix.com.br, ccarlosmaia@terra.com.br|g3.dsm@abacotecnologia.com.br|9|3|13|11/5/19 17:04|2/8/21 14:54|Isadora.Bonato@dsm.com, she.contractor@dsm.com|monica@vulcamix.com.br, camila@vulcamix.com.br, gabriela@vulcamix.com.br
14|ASSEIO SANEAMENTO AMBIENTAL LTDA|06460-120|AVENIDA CECI|348|CENTRO EMPRESARIAL TAMBORE|BARUERI|SP|BARSIL|60.094.406/0001-02|0|1|1|1|0|0|9/6/19 14:10|3/5/20 15:04|(NULL)|heloisa.rocha@dsm.com, she.contractor@dsm.com|(NULL)|taina.pantaleao@rentokil-initial.com|g3.dsm@abacotecnologia.com.br|10|3|14|11/5/19 17:04|8/18/21 9:33|lariane.moraes@dsm.com, she.contractor@dsm.com|taina.pantaleao@rentokil-initial.com
421|ASSOCIACAO DOS PROFISSIONAIS DE RESGATE E EMERGENCIAS MEDICAS - APREMED|18030-005|AV COMENDADOR PEREIRA INACIO|1040|JARDIM VERGUEIRO|SOROCABA|SP|BRASIL|08.215.593/0001-15|0|1|1|1|0|0|12/10/20 9:48|12/10/20 9:48|SALA: 02;|(NULL)|(NULL)|(NULL)|(NULL)|488|3|421|12/10/20 9:48|2/18/21 12:40|(NULL)|(NULL)
110|ASURIS COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA|04004-030|RUA DESEMBARGADOR ELISEU GUILHERME|282|PARAISO|SÃO PAULO|SP|BRASIL|08.899.539/0001-36|0|1|1|1|0|0|9/18/19 14:45|9/18/19 14:45|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|106|3|110|11/5/19 17:34|11/5/19 17:34|(NULL)|(NULL)
263|ATIVE CLEAN COMÉRCIO E SERVIÇOS|03069-030|R CORONEL GUSTAVO SANTIAGO|265|VILA ZILDA|SAO PAULO|SP|BRASIL|26.109.828/0001-76|0|1|1|1|0|0|3/13/20 15:23|3/13/20 15:23|AP 43|Leticia.Ramos@dsm.com, SHE.CONTRACTOR@dsm.com|(NULL)|ativeclean@hotmail.com|g3.dsm@abacotecnologia.com.br|256|3|263|3/13/20 15:24|7/26/21 9:20|g3.dsm@abacotecnologia.com.br, Leticia.Ramos@dsm.com, SHE.CONTRACTOR@dsm.com|atendimento@ativeclean.com.br
432|ATLAS COORDENACOES E SERVICOS ADMINISTRATIVOS LTDA|89654-000|R JOAO XXIII|160|CENTRO|AGUA DOCE|SC|BRASIL|36.046.277/0001-00|0|1|1|1|0|0|12/16/20 18:38|12/16/20 18:38|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|498|3|432|12/16/20 18:40|12/16/20 18:43|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|rh@installautomacao.com.br
525|BAHIANA DISTRIBUIDORA DE GAS LTDA|61635-365|ROD BR-222|0|TABAPUA|CAUCAIA|CE|BRASIL|46.395.687/0039-85|0|1|1|1|0|0|9/1/21 11:03|9/1/21 11:03|KM 06 QUADRA34|(NULL)|(NULL)|(NULL)|(NULL)|614|131|525|9/1/21 11:04|9/1/21 11:04|SHE.CONTRATOR@dsm.com, Samille-Gomes.Vieira@dsm.com|consultoria@4msengenharia.com
15|BAUKO EQUIPAMENTOS DE MOVIMENTAÇÃO E ARMAZENAGEM S.A - MAIRINQUE|06298-060|RUA SANTA EROTILDES|200|VILA DOS REMEDIOS|OSASCO|SP|BARSIL|12.210.380/0001-78|0|1|1|1|0|0|9/6/19 14:56|8/10/21 10:38|(NULL)|denis.almeida@dsm.com, she.contractor@dsm.com|(NULL)|leandro.basilio@bauko.com.br|g3.dsm@abacotecnologia.com.br|11|3|15|11/5/19 17:04|2/18/21 12:33|denis.almeida@dsm.com, marcio.garcia@dsm.com, Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|alisson.barbosa@bauko.com.br
231|BAUKO EQUIPAMENTOS DE MOVIMENTAÇÃO E ARMAZENAGEM S.A - PECEM|06298-060|RUA SANTA EROTILDES|200|VILA DOS REMEDIOS|SÃO PAULO|SP|BRASIL|12.210.380/0001-78|0|1|1|1|0|0|2/18/20 16:18|3/30/20 15:31|(NULL)|luciana.baldan@dsm.com, marcio.garcia@dsm.com|(NULL)|leandro.basilio@bauko.com.br|g3.dsm@abacotecnologia.com.br|225|131|231|2/18/20 16:21|2/18/21 12:33|denis.almeida@dsm.com, marcio.garcia@dsm.com, Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|alisson.barbosa@bauko.com.br
394|BELGE ENGENHARIA E SISTEMAS LTDA|04620-001|R BERNADINO DE CAMPOS|318|BROOKLIN PAULISTA|SAO PAULO|SP|BRASIL|00.567.365/0001-00|0|1|1|1|0|0|10/29/20 12:47|10/29/20 12:47|CONJUNTO 103|(NULL)|(NULL)|(NULL)|(NULL)|446|3|394|10/29/20 12:48|10/29/20 12:49|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|hcoelho@belge.com.br
518|BELMAC INSTALACOES, MANUTENCAO E REFRIGERACAO EIRELI|18020-001|R CORONEL NOGUEIRA PADILHA|724|VILA HORTENCIA|SOROCABA|SP|BRASIL|22.588.179/0001-82|0|1|1|1|0|0|8/20/21 9:43|8/20/21 9:43|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|605|3|518|8/20/21 9:43|8/20/21 9:43|Luiz.Bittencourt@dsm.com, SHE.CONTRACTOR@dsm.com|contas@belmac.com.br
285|BERTOLINI SISTEMAS DE ARMAZENAGEM S/A|95700-010|R FRANCISCO LUIZ BERTOLINI|235|CONCEICAO|BENTO GONCALVES|RS|BRASIL|15.358.988/0003-02|0|1|1|1|0|0|4/2/20 15:46|4/2/20 15:46|ANDAR 2|bruna.moraes@dsm.com, beatriz.souza@dsm.com, amanda.camargo@dsm.com, she.contractor@dsm.com|(NULL)|lauri.zanon@bertolini.com.br, jgsmontagens@hotmail.com, wilson.garcia@bertolini.com.br|g3.dsm@abacotecnologia.com.br|291|3|285|4/2/20 15:47|2/8/21 14:55|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|lauri.zanon@bertolini.com.br, jgsmontagens@hotmail.com, wilson.garcia@bertolini.com.br
249|BEUMER LATINOAMERICANA EQUIPAMENTOS LTDA|13069-330|AV JOHN DALTON|301|CONDOMINIO TECHNO PARK|CAMPINAS|SP|BRASIL|96.353.750/0001-16|0|1|1|1|0|0|3/3/20 13:55|3/3/20 13:55|EDIF 3 BLOCO A|(NULL)|(NULL)|(NULL)|(NULL)|242|3|249|3/3/20 13:56|7/8/21 12:28|Isadora.Bonato@dsm.com, she.contrator@dsm.com|Leticia.Lopes@beumer.com
249|BEUMER LATINOAMERICANA EQUIPAMENTOS LTDA|13069-330|AV JOHN DALTON|301|CONDOMINIO TECHNO PARK|CAMPINAS|SP|BRASIL|96.353.750/0001-16|0|1|1|1|0|0|3/3/20 13:55|3/3/20 13:55|EDIF 3 BLOCO A|(NULL)|(NULL)|(NULL)|(NULL)|416|131|249|9/21/20 11:42|9/21/20 11:44|maria.barbosa@dsm.com, lorenna.sousa@dsm.com, Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|leticia.lopes@beumer.com,
511|BRAGA CURSOS E TREINAMENTOS TECNICOS|62674-000|R RAIMUNDO PROCOPIO|4|PECEM|SAO GONÇALO DO AMARANTE|CE|BRASIL|20.391.338/0001-29|0|1|1|1|0|0|7/20/21 11:22|7/20/21 11:22|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|594|131|511|7/20/21 11:25|7/20/21 11:25|Maria.Barbosa@dsm.com, SHE.CONTRACTOR@dsm.com|Willame.Albuquerque@dsm.com
357|BRASIF S/A EXPORTACAO IMPORTACAO|13213-105|AV JOSE ALVES DE OLIVEIRA|4520|DISTRITO INDUSTRIAL|JUNDIAI|SP|BRASIL|52.226.073/0025-77|0|1|1|1|0|0|7/31/20 11:48|7/31/20 11:48|LOTE 01 -D QUADRA4|(NULL)|(NULL)|(NULL)|(NULL)|386|3|357|7/31/20 11:48|2/8/21 15:25|Isadora.Bonato@dsm.com, she.contractor@dsm.com|ligia.galvao@brasif.com.br, marcelo.pedroso@brasif.com.br
